Id_City,City,Country
1,Palo Alto,United States
2,Vancouver,Canada
3,Toronto,Canada
4,San Francisco,United States
5,New York,United States
6,Chicago,United States
7,Cambridge,United States
8,Zurich,Switzerland
9,Hong Kong,Hong Kong
10,Washington,United States
11,Dubai,UAE
12,Curitiba,Brazil
13,Monaco,Monaco
14,London,United Kingdom
15,Manhattan Beach,United States
16,Shenzen,China
17,Wheaton,United States
18,Menlo Park,United States
19,Cremorne,Australia
20,Seattle,United States
21,Singapore,Singapore
22,Waltham,United States
23,Indianapolis,United States
24,West Hollywood,United States
25,Boston,United States
26,Blaine,United States
27,Nashville,United States
28,Zug,Switzerland
29,Nairobi,Kenya
30,Beijing,China
31,Limassol,Cyprus
32,Grand Cayman,Cayman Islands
33,Lincolnwood,United States
34,Luxembourg,Luxembourg
35,Jersey City,United States
36,Danville,United States
37,Willingboro,United States
38,San Diego,United States
39,Stamford,United States
40,Los Angeles,United States
41,San Mateo,United States
42,Bagalore,India
43,West Palm Beach,United States
44,Dover,United States
45,Berlin,Germany
46,Mill Valley,United States
47,Lafayette,United States
48,Birmingham,United States
49,Oakland,United States
50,Denver,United States
51,Stirling,Australia
52,Bayonne,United States
53,0,Bulgaria
54,George Town,Cayman Islands
55,La Jolla,United States
56,Road Town,British Virgin Islands
57,Moscow,Russia
58,Northbrook,United States
59,Berkeley,United States
60,Las Vegas,United States
61,Coahuila,Mexico
62,Saratoga,United States
63,Famagusta,Cyprus
64,Carlton,Australia
65,Tallinn,Estonia
66,Amsterdam,Netherlands
67,East Perth,Australia
68,Beverly Hills,United States
69,Austin,United States
70,Newport Beach,United States
71,Shanghai,China
72,Park Ridge,United States
73,Santa Monica,United States
74,Tokyo,Japan
75,Raleigh,United States
76,St. Helier,United Kingdom
77,Palm Harbor,United States
78,Jericho,United States
79,Lekki,Nigeria
80,Seoul,Korea
81,Liechtenstein,Liechtenstein
82,Paris,France
83,Kiev,Ukraine
84,Douglas,Isle of Man
85,Parkland,United States
86,Gurugram,India
87,Munich,Germany
88,Irvine,United States
89,Mexico City,Mexico
90,Sydney,Australia
91,Midvale,United States
92,Baltimore,United States
93,Chapel Hill,United States
94,Saginaw,United States
95,Baar,Switzerland
96,Palaiseau,France
97,Nassau,Bahamas
98,Berkhamsted,United Kingdom
99,Dallas,United States
100,Atlanta,United States
101,Jyväskylä,Finland
102,Glenn Ellyn,United States
103,New Delhi,India
104,San Juan,Puerto Rico
105,Westport,United States
106,Sunnyvale,United States
107,Gatineau,Canada
108,Princeton,United States
109,Tel Aviv,Israel
110,Ramat Hasharon,Israel
111,Rye Brook,United States
112,Malta,Malta
